GPT-2 (small), batch size 6, LR 1e-5:

{'loss': 3.8236, 'grad_norm': 6.041743278503418, 'learning_rate': 9.988297249853717e-06, 'epoch': 0.01}
{'loss': 3.1199, 'grad_norm': 4.532846927642822, 'learning_rate': 9.976594499707432e-06, 'epoch': 0.02}
{'loss': 2.852, 'grad_norm': 4.279776573181152, 'learning_rate': 9.964891749561148e-06, 'epoch': 0.04}
{'loss': 2.7298, 'grad_norm': 4.898376941680908, 'learning_rate': 9.953188999414863e-06, 'epoch': 0.05}
{'loss': 2.6372, 'grad_norm': 4.048874855041504, 'learning_rate': 9.941486249268579e-06, 'epoch': 0.06}
{'loss': 2.5537, 'grad_norm': 3.583071708679199, 'learning_rate': 9.929783499122294e-06, 'epoch': 0.07}
{'loss': 2.5148, 'grad_norm': 3.5725033283233643, 'learning_rate': 9.91808074897601e-06, 'epoch': 0.08}
{'loss': 2.5132, 'grad_norm': 3.3628525733947754, 'learning_rate': 9.906377998829726e-06, 'epoch': 0.09}
{'loss': 2.4664, 'grad_norm': 3.9178109169006348, 'learning_rate': 9.894675248683442e-06, 'epoch': 0.11}
{'loss': 2.401, 'grad_norm': 3.5618677139282227, 'learning_rate': 9.882972498537157e-06, 'epoch': 0.12}
{'eval_loss': 2.327038526535034, 'eval_runtime': 36.5768, 'eval_samples_per_second': 30.374, 'eval_steps_per_second': 5.085, 'epoch': 0.12}
{'loss': 2.3676, 'grad_norm': 3.741243362426758, 'learning_rate': 9.871269748390873e-06, 'epoch': 0.13}
{'loss': 2.3469, 'grad_norm': 3.912909746170044, 'learning_rate': 9.859566998244588e-06, 'epoch': 0.14}
{'loss': 2.339, 'grad_norm': 3.3470370769500732, 'learning_rate': 9.847864248098304e-06, 'epoch': 0.15}
{'loss': 2.3666, 'grad_norm': 4.012716770172119, 'learning_rate': 9.836161497952019e-06, 'epoch': 0.16}
{'loss': 2.316, 'grad_norm': 4.080101490020752, 'learning_rate': 9.824458747805735e-06, 'epoch': 0.18}
{'loss': 2.2699, 'grad_norm': 3.3663835525512695, 'learning_rate': 9.812755997659451e-06, 'epoch': 0.19}
{'loss': 2.2942, 'grad_norm': 4.578247547149658, 'learning_rate': 9.801053247513166e-06, 'epoch': 0.2}
{'loss': 2.281, 'grad_norm': 3.591346025466919, 'learning_rate': 9.789350497366882e-06, 'epoch': 0.21}
{'loss': 2.2854, 'grad_norm': 3.366689443588257, 'learning_rate': 9.777647747220597e-06, 'epoch': 0.22}
{'loss': 2.2435, 'grad_norm': 3.2225492000579834, 'learning_rate': 9.765944997074313e-06, 'epoch': 0.23}
{'eval_loss': 2.2565388679504395, 'eval_runtime': 37.3453, 'eval_samples_per_second': 29.749, 'eval_steps_per_second': 4.981, 'epoch': 0.23}
{'loss': 2.2278, 'grad_norm': 3.796351671218872, 'learning_rate': 9.754242246928028e-06, 'epoch': 0.25}
{'loss': 2.2332, 'grad_norm': 3.457839250564575, 'learning_rate': 9.742539496781744e-06, 'epoch': 0.26}
{'loss': 2.222, 'grad_norm': 3.4962685108184814, 'learning_rate': 9.73083674663546e-06, 'epoch': 0.27}
{'loss': 2.2389, 'grad_norm': 3.598400831222534, 'learning_rate': 9.719133996489177e-06, 'epoch': 0.28}
{'loss': 2.1833, 'grad_norm': 3.7667651176452637, 'learning_rate': 9.707431246342891e-06, 'epoch': 0.29}
{'loss': 2.1792, 'grad_norm': 5.308276176452637, 'learning_rate': 9.695728496196608e-06, 'epoch': 0.3}
{'loss': 2.1878, 'grad_norm': 3.7281742095947266, 'learning_rate': 9.684025746050322e-06, 'epoch': 0.32}
{'loss': 2.1872, 'grad_norm': 3.392212152481079, 'learning_rate': 9.672322995904038e-06, 'epoch': 0.33}
{'loss': 2.1582, 'grad_norm': 3.2880191802978516, 'learning_rate': 9.660620245757753e-06, 'epoch': 0.34}
{'loss': 2.2323, 'grad_norm': 3.438734292984009, 'learning_rate': 9.64891749561147e-06, 'epoch': 0.35}
{'eval_loss': 2.2246994972229004, 'eval_runtime': 37.3243, 'eval_samples_per_second': 29.766, 'eval_steps_per_second': 4.983, 'epoch': 0.35}
{'loss': 2.1553, 'grad_norm': 4.084359169006348, 'learning_rate': 9.637214745465186e-06, 'epoch': 0.36}
{'loss': 2.1397, 'grad_norm': 3.3267693519592285, 'learning_rate': 9.6255119953189e-06, 'epoch': 0.37}
{'loss': 2.179, 'grad_norm': 4.236814498901367, 'learning_rate': 9.613809245172617e-06, 'epoch': 0.39}
{'loss': 2.1549, 'grad_norm': 3.506012201309204, 'learning_rate': 9.602106495026333e-06, 'epoch': 0.4}
{'loss': 2.1513, 'grad_norm': 3.8189802169799805, 'learning_rate': 9.590403744880047e-06, 'epoch': 0.41}
{'loss': 2.1665, 'grad_norm': 3.430875778198242, 'learning_rate': 9.578700994733762e-06, 'epoch': 0.42}
{'loss': 2.1403, 'grad_norm': 3.261894702911377, 'learning_rate': 9.566998244587478e-06, 'epoch': 0.43}
{'loss': 2.1022, 'grad_norm': 3.651423692703247, 'learning_rate': 9.555295494441195e-06, 'epoch': 0.44}
{'loss': 2.1097, 'grad_norm': 3.4027178287506104, 'learning_rate': 9.543592744294911e-06, 'epoch': 0.46}
{'loss': 2.0976, 'grad_norm': 3.86811900138855, 'learning_rate': 9.531889994148626e-06, 'epoch': 0.47}
{'eval_loss': 2.2049050331115723, 'eval_runtime': 37.2853, 'eval_samples_per_second': 29.797, 'eval_steps_per_second': 4.989, 'epoch': 0.47}
{'loss': 2.1044, 'grad_norm': 3.2423577308654785, 'learning_rate': 9.520187244002342e-06, 'epoch': 0.48}
{'loss': 2.0974, 'grad_norm': 3.3018243312835693, 'learning_rate': 9.508484493856056e-06, 'epoch': 0.49}
{'loss': 2.0947, 'grad_norm': 3.436450242996216, 'learning_rate': 9.496781743709773e-06, 'epoch': 0.5}
{'loss': 2.0654, 'grad_norm': 2.7848401069641113, 'learning_rate': 9.485078993563487e-06, 'epoch': 0.51}
